userId,movieId,rating,title,genres
548,74532,1.0,Cop Out (2010),Action|Comedy|Crime
91,384,1.0,Bad Company (1995),Action|Crime|Drama
4,4967,1.0,No Man's Land (2001),Drama|War
466,6281,1.0,Phone Booth (2002),Drama|Thriller
51,1834,1.0,"Spanish Prisoner, The (1997)",Crime|Drama|Mystery|Thriller
509,5618,1.0,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
438,508,1.0,Philadelphia (1993),Drama
482,8268,1.0,Point of No Return (1993),Action|Thriller
18,142488,1.0,Spotlight (2015),Thriller
249,97860,1.0,Killing Them Softly (2012),Crime|Drama|Thriller
606,902,1.0,Breakfast at Tiffany's (1961),Drama|Romance
525,79702,1.0,Scott Pilgrim vs. the World (2010),Action|Comedy|Fantasy|Musical|Romance
47,391,1.0,Jason's Lyric (1994),Crime|Drama
182,5325,1.0,Dogtown and Z-Boyz (2001),Documentary
599,26745,1.0,Other People's Money (1991),Comedy|Drama|Romance
608,4571,1.0,Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi
610,1230,1.0,Annie Hall (1977),Comedy|Romance
600,1278,1.0,Young Frankenstein (1974),Comedy|Fantasy
380,2498,1.0,My Favorite Martian (1999),Comedy|Sci-Fi
577,2529,1.0,Planet of the Apes (1968),Action|Drama|Sci-Fi
282,34162,1.0,Wedding Crashers (2005),Comedy|Romance
42,2688,1.0,"General's Daughter, The (1999)",Crime|Drama|Mystery|Thriller
390,64575,1.0,Doubt (2008),Drama|Mystery
591,3114,1.0,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
261,1222,1.0,Full Metal Jacket (1987),Drama|War
139,7346,1.0,"Girl Next Door, The (2004)",Comedy|Romance
89,142444,1.0,The Editor (2015),Comedy|Horror|Mystery
219,250,1.0,Heavyweights (Heavy Weights) (1995),Children|Comedy
351,60894,1.0,"Edge of Love, The (2008)",Drama|Romance|War
9,4558,1.0,Twins (1988),Comedy
223,110,1.0,Braveheart (1995),Action|Drama|War
68,62293,1.0,"Duchess, The (2008)",Drama|Romance
222,344,1.0,Ace Ventura: Pet Detective (1994),Comedy
274,2699,1.0,Arachnophobia (1990),Comedy|Horror
507,457,1.0,"Fugitive, The (1993)",Thriller
307,7026,1.0,Summer School (1987),Comedy
266,2115,1.0,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
140,3448,1.0,"Good Morning, Vietnam (1987)",Comedy|Drama|War
357,5903,1.0,Equilibrium (2002),Action|Sci-Fi|Thriller
580,8950,1.0,The Machinist (2004),Drama|Mystery|Thriller
483,2483,1.0,"Day of the Beast, The (Día de la Bestia, El) (1995)",Adventure|Comedy|Thriller
